ORF	gene	hmm_call	custom_call	biotradis_call	gumbel_call
MB0534	 -	NE	NE	NE	NE
MB0535	 gabP	NE	NE	NE	NE
MB0536C	 -	ES	NE	NE	ES
MB0537	 hemL	ES	ES	NE	U
MB0538	 -	ES	ES	ES	U
MB0539	 -	ES	ES	NE	U
MB0540	 ccdA	ES	ES	ES	ES
MB0541	 -	ES	ES	ES	ES
MB0542	 ccsA	NE	ES	ES	NE
MB0543	 -	NE	NE	NE	S
MB0543A	 len: 53 aa. Equivalent to Rv0530A len: 53 aa	NE	NE	NE	U
MB0544	 -	NE	ES	NE	NE
MB0545	 PE_PGRS6a	NE	NE	NE	S
MB0546	 PE_PGRS6b	NE	NE	ES	NE
MB0547C	 fabH	NE	NE	NE	U
MB0548C	 menA	NE	AMB	AMB	NE
MB0549	 pnp	NE	NE	NE	NE
MB0550	 galE3	NE	NE	NE	NE
MB0551C	 -	NE	NE	NE	NE
MB0552	 -	NE	NE	NE	NE
MB0553	 -	NE	NE	NE	U
MB0554	 -	NE	NE	NE	U
MB0555C	 -	ES	ES	AMB	U
MB0556C	 menE	ES	ES	AMB	S
MB0557C	 -	NE	AMB	ES	NE
MB0558C	 -	NE	NE	NE	U
MB0559C	 pitA	NE	NE	NE	NE
MB0560C	 -	NE	NE	NE	NE
MB0561C	 -	NE	NE	NE	U
MB0562C	 menB	NE	NE	AMB	S
MB0563C	 -	NE	NE	ES	S
MB0564C	 -	NE	NE	NE	S
MB0565C	 -	NE	NE	NE	NE
MB0566C	 fadD8	NE	NE	NE	NE
MB0567	 -	NE	NE	NE	U
MB0568	 menC	NE	AMB	ES	NE
MB0569	 bpoC	ES	NE	NE	ES
MB0570	 menD	ES	ES	AMB	U
MB0571	 -	GD	ES	ES	U
MB0572	 pimB	ES	ES	NE	U
MB0573	 menH	GA	ES	ES	NE
MB0574C	 -	GD	NE	NE	U
MB0575C	 -	GD	NE	NE	NE
MB0576C	 -	ES	AMB	NE	U
MB0577	 grcC1	NE	ES	ES	NE
MB0578	 htpX	NE	NE	NE	NE
MB0579C	 gpdA1	NE	NE	NE	NE
MB0580C	 -	NE	NE	NE	NE
MB0581C	 -	NE	NE	NE	S
MB0582	 -	NE	NE	NE	NE
MB0583	 cyp135B1	NE	NE	NE	S
MB0584	 -	NE	NE	NE	U
MB0585	 nrdZ	NE	NE	NE	U
MB0586C	 -	NE	NE	NE	NE
MB0587C	 -	NE	NE	NE	S
MB0587CA	NA	NA	NE	NE	NA
MB0588C	 -	NE	AMB	NE	NE
MB0589C	 -	NE	NE	NE	NE
MB0590C	 -	NE	NE	NE	NE
MB0591	 -	NE	NE	NE	NE
MB0592	 TB27.3	NE	NE	NE	NE
MB0593C	 PE_PGRS7	NE	ES	NE	U
MB0594	 -	NE	NE	NE	NE
MB0595C	 -	NE	NE	NE	S
MB0596	 -	NE	NE	NE	NE
MB0597	 -	NE	NE	NE	NE
MB0598C	 lpqN	NE	NE	NE	NE
